aggregation,graph,graph_set,fusion_mode,model,history,horizon,input_channels,hidden_dim,dropout,epochs_requested,epochs_ran,best_epoch,train_windows,validation_windows,test_windows,validation_wmape,validation_mae,validation_rmse,validation_mase,test_wmape,test_mae,test_rmse,test_mase,preprocessing_enabled,selected_residual_lag,fusion_weights,milestone,graph_source,run_dir
community,DC,DC,single,A3T_GCN_graph_fusion,8,1,11,32,0.1,40,20,10,15813,1704,4631,0.21601560484028395,60.15382998435195,126.56970369477902,0.5916578383393976,0.23414687989780494,49.30636783983856,151.15429876176654,0.48496494770282833,true,56,"{""DC"": 1.0}",M3.1_single_graph,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\graphs\train,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\experiments\stgnn_milestones\runs\m31_single_community_dc
community,SD,SD,single,A3T_GCN_graph_fusion,8,1,11,32,0.1,40,20,10,15813,1704,4631,0.21612264472825907,60.18363736436766,126.8004937456048,0.5919510161807959,0.23423539074598518,49.32500634759957,151.59002629197627,0.48514827134514044,true,56,"{""SD"": 1.0}",M3.1_single_graph,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\graphs\train,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\experiments\stgnn_milestones\runs\m31_single_community_sd
community,ATD,ATD,single,A3T_GCN_graph_fusion,8,1,11,32,0.1,40,20,10,15813,1704,4631,0.21607714022176644,60.17096573192193,126.81487247260524,0.5918263812130304,0.23423825421256547,49.32560933294179,151.59869561508302,0.48515420215626615,true,56,"{""ATD"": 1.0}",M3.1_single_graph,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\graphs\train,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\experiments\stgnn_milestones\runs\m31_single_community_atd
community,DE,DE,single,A3T_GCN_graph_fusion,8,1,11,32,0.1,40,20,10,15813,1704,4631,0.2161504976987932,60.19139357649552,126.8608272309234,0.5920273043190984,0.23428449729697637,49.33534714593766,151.692235463376,0.4852499808188848,true,56,"{""DE"": 1.0}",M3.1_single_graph,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\graphs\train,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\experiments\stgnn_milestones\runs\m31_single_community_de
community,SD+DE+DC+ATD,SD+DE+DC+ATD,learned,A3T_GCN_graph_fusion,8,1,11,32,0.1,40,20,10,15813,1704,4631,0.2160624776870117,60.16688265827812,126.72277166010639,0.5917862211346695,0.23420278937543806,49.31814119027191,151.4336686688623,0.4850807473962015,true,56,"{""SD"": 0.23544609546661377, ""DE"": 0.20953775942325592, ""DC"": 0.3327881991863251, ""ATD"": 0.22222794592380524}",M3.2_multi_graph_fusion,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\graphs\train,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\experiments\stgnn_milestones\runs\m32_fusion_learned_community
community,SD+DE+DC+ATD,SD+DE+DC+ATD,equal,A3T_GCN_graph_fusion,8,1,11,32,0.1,40,20,10,15813,1704,4631,0.21607742872402433,60.17104607109828,126.75505770599639,0.5918271714088238,0.23421795843205895,49.32133547193758,151.4897649520886,0.4851121655417435,true,56,"{""SD"": 0.25, ""DE"": 0.25, ""DC"": 0.25, ""ATD"": 0.25}",M3.2_multi_graph_fusion,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\graphs\train,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\experiments\stgnn_milestones\runs\m32_fusion_equal_community
station,ATD,ATD,single,A3T_GCN_graph_fusion,8,1,11,32,0.1,40,14,1,15813,1704,4631,0.8662832754894542,2.6863447814981205,6.232852865645207,1.7723844762689158,0.8629989054893841,2.023711243545975,5.444623828131173,1.3351951012451448,true,56,"{""ATD"": 1.0}",M3.1_single_graph,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\graphs\train,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\experiments\stgnn_milestones\runs\m31_single_station_atd
station,SD,SD,single,A3T_GCN_graph_fusion,8,1,11,32,0.1,40,14,1,15813,1704,4631,0.8667329724227057,2.6877392918668144,6.234405412439708,1.7733045400472112,0.8632611773893304,2.0243262647116005,5.442488998372028,1.3356008771433239,true,56,"{""SD"": 1.0}",M3.1_single_graph,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\graphs\train,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\experiments\stgnn_milestones\runs\m31_single_station_sd
station,DE,DE,single,A3T_GCN_graph_fusion,8,1,11,32,0.1,40,14,1,15813,1704,4631,0.8672205305060954,2.68925120967713,6.255096945465562,1.7743020663792195,0.8636892718133063,2.025330135624517,5.4532988590065345,1.3362632065786537,true,56,"{""DE"": 1.0}",M3.1_single_graph,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\graphs\train,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\experiments\stgnn_milestones\runs\m31_single_station_de
station,DC,DC,single,A3T_GCN_graph_fusion,8,1,11,32,0.1,40,14,1,15813,1704,4631,0.8781299496387305,2.7230813227421335,6.531275636537284,1.7966223462032398,0.8739358412495201,2.0493580893611227,5.646734795930997,1.352116261812881,true,56,"{""DC"": 1.0}",M3.1_single_graph,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\graphs\train,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\experiments\stgnn_milestones\runs\m31_single_station_dc
station,SD+DE+DC+ATD,SD+DE+DC+ATD,learned,A3T_GCN_graph_fusion,8,1,11,32,0.1,40,14,1,15813,1704,4631,0.8688531177605873,2.694313863401994,6.288988556882416,1.7776422812810722,0.865387073210056,2.0293114382125683,5.483015434027184,1.3388899724915746,true,56,"{""SD"": 0.2675877511501312, ""DE"": 0.26612433791160583, ""DC"": 0.198232963681221, ""ATD"": 0.26805493235588074}",M3.2_multi_graph_fusion,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\graphs\train,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\experiments\stgnn_milestones\runs\m32_fusion_learned_station
station,SD+DE+DC+ATD,SD+DE+DC+ATD,equal,A3T_GCN_graph_fusion,8,1,11,32,0.1,40,14,1,15813,1704,4631,0.8694841989721391,2.696270846489768,6.301822244060814,1.7789334507798573,0.8660064069121549,2.0307637605370488,5.492914865679127,1.33984817918201,true,56,"{""SD"": 0.25, ""DE"": 0.25, ""DC"": 0.25, ""ATD"": 0.25}",M3.2_multi_graph_fusion,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\graphs\train,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\experiments\stgnn_milestones\runs\m32_fusion_equal_station
station,DE,DE,single,A3T_GCN_graph_fusion,8,1,11,32,0.1,40,14,1,15813,1704,4631,0.8672205305060954,2.68925120967713,6.255096945465562,1.7743020663792195,0.8636892718133063,2.025330135624517,5.4532988590065345,1.3362632065786537,true,56,"{""DE"": 1.0}",M3.leakage_sensitivity_baseline,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\graphs\train,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\experiments\stgnn_milestones\runs\leakage_base_single_de_station
station,SD+DE+DC+ATD,SD+DE+DC+ATD,learned,A3T_GCN_graph_fusion,8,1,11,32,0.1,40,14,1,15813,1704,4631,0.8688531177605873,2.694313863401994,6.288988556882416,1.7776422812810722,0.865387073210056,2.0293114382125683,5.483015434027184,1.3388899724915746,true,56,"{""SD"": 0.2675877511501312, ""DE"": 0.26612433791160583, ""DC"": 0.198232963681221, ""ATD"": 0.26805493235588074}",M3.leakage_sensitivity_baseline,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\graphs\train,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\experiments\stgnn_milestones\runs\leakage_base_fusion_learned_station
station,DE,DE,single,A3T_GCN_graph_fusion,8,1,11,32,0.1,40,14,1,15813,1704,4631,0.8670803531169868,2.6888165195378066,6.25118346863444,1.7740152684744122,0.8635845889193428,2.025084656808526,5.451078623120755,1.3361012456696477,true,56,"{""DE"": 1.0}",M3.leakage_sensitivity_leaky,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\graphs\leaky_full,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\experiments\stgnn_milestones\runs\leakage_leaky_single_de_station
station,SD+DE+DC+ATD,SD+DE+DC+ATD,learned,A3T_GCN_graph_fusion,8,1,11,32,0.1,40,14,1,15813,1704,4631,0.868741362132759,2.693967309155694,6.2869246409990645,1.7774136332793127,0.865302155409184,2.0291123080545703,5.482512756939401,1.3387585912916542,true,56,"{""SD"": 0.267689049243927, ""DE"": 0.26645955443382263, ""DC"": 0.19833174347877502, ""ATD"": 0.26751968264579773}",M3.leakage_sensitivity_leaky,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\graphs\leaky_full,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\experiments\stgnn_milestones\runs\leakage_leaky_fusion_learned_station
