station_name,mean_rank,std_rank
Näkinsilta,22.0,14.7648230602334
Töölönlahdenkatu,33.0,36.43258614665356
Siilitie (M),43.25,17.38533865071371
Viikin tiedepuisto,56.0,38.47076812334269
Huopalahden asema,67.5,44.762335357604684
Gyldenintie,74.0,42.949582846247374
Itäkeskus (M),79.25,81.90797681951781
Niittykumpu (M),79.5,100.75217119248597
Haukilahdenkatu,80.75,88.10741550327457
Ympyrätalo,83.25,82.60901887808619
Kauppakeskus Kaari,84.25,71.64437637851744
Roihupelto,86.0,69.04587846738814
Takomotie,89.75,51.272962335588396
Voikukantie,90.75,50.029158164680986
Tunnelitie,91.5,70.66588049877159
Vihdintie,92.75,52.89848769104841
Haagan tori,95.25,123.64027121721574
Lauttasaaren ostoskeskus,98.0,66.00505031182588
Ala-Malmin tori,101.75,81.67567977474486
Rastila (M),103.5,89.96480793436213
Varsapuistikko,103.75,38.74166577041657
Mellunmäki (M),104.0,61.465437442517235
Herttoniemi (M),106.0,166.01807130550577
Vilhonvuorenkatu,109.0,146.1300790391903
Käpylän asema,109.5,61.587336360651285
Petter Wetterin tie,111.0,164.87368902688303
Lintulahdenkatu,112.5,64.44894620291838
Pitäjänmäen asema,114.25,80.44200809693072
Toinen linja,119.0,95.13148795220224
Kamppi (M),120.375,196.41341391734593
Viikin normaalikoulu,123.25,85.63634353084754
Töölöntulli,123.5,121.64566028702654
Kalasatama (M),125.25,155.01908484656548
Otaranta,127.0,79.36833961557551
Kirjurinkuja,127.25,120.7542269791552
Majurinkulma,127.75,53.53737012592232
Eränkävijäntori,127.75,95.87622228686318
Kaisaniemenpuisto,129.25,79.5419176702867
Urheilupuisto (M),131.5,165.44989170944376
Siilitie 9,132.5,108.08792717042917
Intiankatu,132.75,62.697022789496685
Ooppera,133.0,196.11221277625725
Puotinharju,134.0,69.61321713582845
Länsituuli,134.125,186.05392363505803
Niittymaa,134.25,127.86288228671629
Baana,135.125,188.47739696490575
Hakaniemi (M),135.5,205.38987316808002
Töölönkatu,135.75,84.72848792859853
Puotilan ostoskeskus,138.5,54.568000390949514
Verkatehtaanpuisto,140.75,168.428768326554
Korppaanmäentie,141.0,110.50490185205965
Kulosaari (M),141.25,121.90535946654137
Marjaniementie,141.5,92.233399590387
Piispansilta,141.5,139.92497989994496
Arabiankatu,141.75,161.65884860821362
Agronominkatu,142.25,78.23628740339528
Puistolan asema,142.75,115.49422784999545
Jämeräntaival,142.75,123.48380460611018
Suomenlahdentie,143.0,122.8359339390012
Myllypuro (M),143.25,63.25279967453351
Puotila (M),144.25,64.15800807381726
Yhdyskunnankuja,144.5,42.883563284783136
Kontula (M),144.75,108.9751500725433
Pukinmäen asema,144.75,142.8574464282489
Agnetankuja,145.0,95.6486626496506
Vanha Viertotie,146.25,129.01776363483182
Lauttasaarensilta,147.0,63.72336044706577
Valimotie,147.0,97.41663102366043
Kauppakorkeakoulu,148.0,128.0807037249041
Itämerentori,150.125,184.3946740915619
Marian sairaala,151.0,141.06972271421913
Koskelantie,151.25,132.05649043748917
Heikkiläntie,154.75,81.30754372545432
Leppävaarankäytävä,155.375,181.59633577433954
Sammonpuistikko,155.5,104.84432904708453
Tapionaukio,155.625,175.06921250370286
Malmin asema,156.625,182.54559932612273
Puotinkylän kartano,157.5,100.34772875689148
Pohjankulma,158.75,87.64464235384462
Oulunkylän asema,159.625,170.2289512196246
Perämiehenkatu,159.75,134.09045454468412
Heikkilänaukio,160.25,114.96195022702076
Mosaiikkitori,160.25,141.2689515309952
Tulisuontie,161.75,102.69818239222477
Kauppakeskus Columbus,161.75,142.79676700355182
Sörnäinen (M),162.875,172.85464751248855
Halkaisijantie,163.5,72.79880951407561
Jännetie,163.5,91.26700754745202
Kalevankatu,163.875,179.70456078426798
Korjaamo,164.25,166.85597581946735
Brahen puistikko,165.0,126.66754385661177
Matinkyläntie,165.25,118.08577391032334
Tyynenmerenkatu,165.75,175.00738079673476
Laajalahden aukio,165.75,185.69935379532154
Narinkka,166.25,126.40246569325036
Hietalahdentori,169.375,174.15097616723256
Teljäntie,169.5,71.96990111613789
Ratsutori,170.125,166.26904652800934
Salmisaarenranta,170.75,138.5312840721065
Valimon asema,171.0,111.40017953306898
Arabian kauppakeskus,171.25,203.76027581449728
Porthania,173.25,134.59166640868472
Abraham Wetterin tie,175.875,163.25969853784082
Ulappasilta,176.75,82.42724064288456
Apollonkatu,178.5,183.39483816799932
Asentajanpuisto,179.5,111.75121177568202
Huopalahdentie,180.5,198.47166044551548
Diakoniapuisto,181.5,121.02203656084016
Aurinkotuulenkatu,181.5,135.59867255987427
Eteläinen Hesperiankatu,181.75,180.29119963732748
Hertanmäenkatu,182.25,134.81932354080405
Brahen kenttä,182.5,85.94765849050223
Esterinportti,182.75,92.81657538751722
Kaivopuisto,182.75,200.1971944525364
Postipuisto,182.75,202.94888519033555
Velodrominrinne,183.125,154.31481620375925
Messeniuksenkatu,185.25,155.1931592134997
Käpyläntie,186.0,84.17046196063478
Koivusaari (M),186.5,182.67366166655407
Laivalahden puistotie,186.625,152.39716478115113
Von Daehnin katu,187.0,137.97342739334508
Kriikunakuja,187.25,117.21312497611633
Juhana Herttuan tie,187.75,106.4029291576756
Rautatientori / itä,188.25,183.82849797206816
Matinkartanontie,188.5,98.94274438616844
Kylävoudintie,188.75,92.08465308254864
Munkkiniemen aukio,188.75,168.35948641720984
Kiasma,190.0,120.82218339361361
Keilaniemi (M),190.25,119.19556759096932
Mustikkamaa,190.5,141.51913887056642
Otto Brandtin tie,190.875,149.1801902622016
Ritarikatu,191.0,69.6419413859206
Tenholantie,191.5,51.881274720911264
Jätkäsaarenlaituri,191.875,180.45607729675754
Leppävaaranaukio,192.375,174.75
Herttoniemenranta,192.5,102.112682855755
Keilaranta,193.75,97.71514723930983
Liisanpuistikko,193.75,177.34406295860785
Laajasalon ostoskeskus,194.25,107.40383295457073
Pohjolanaukio,195.75,30.923292192132454
Tilkantori,196.0,130.66241489681212
Kalkkihiekantie,196.75,63.25806931398818
Länsisatamankuja,197.0,103.4311365112073
Luoteisväylä,197.5,95.56324258486279
Kanavaranta,197.5,198.3742254763288
Rautatientori / länsi,197.5,204.42521044789623
Pasilan asema,198.0,45.99275305233786
Kustaankartano,198.75,149.59584441643648
Pohjolankatu,199.75,175.4848046603086
Teerisuontie,200.25,78.24906815206599
Ajomiehentie,200.25,136.67327219809047
Porolahden koulu,200.375,146.54315348501729
Hietaniemenkatu,200.75,175.8965131358019
Haukilahdenaukio,201.0,109.53538241134689
Teurastamo,201.5,127.21242077721813
Nordenskiöldinaukio,201.5,155.1633547802659
Ramsinniementie,202.5,73.5141709695031
Olympiastadion,202.5,174.9485638694985
Puotilantie,202.75,76.17250159998686
Sumukuja,203.0,120.31070886112619
Thalianaukio,204.5,110.18318080965595
Muurarinkuja,205.0,113.34901852243803
Stenbäckinkatu,205.5,163.44723919356974
Merisotilaantori,206.5,174.05841931183144
Otsolahti,206.625,153.92713373541392
Itälahdenkatu,207.0,122.88476987270093
Louhentori,207.5,98.48688575981406
Orionintie,207.5,98.56469956328178
Tilkanvierto,208.125,193.63555759897682
Albertinkatu,208.5,107.5437895309007
Alakiventie,208.625,154.7919975321722
Matinlahdenranta,208.75,128.39360056742186
Prinsessantie,209.5,126.41334317758286
Vanha kirkkopuisto,209.875,163.75916004914046
Pihlajamäki,210.25,145.36477106461066
Sepänkatu,210.25,148.3832313077638
Rautatieläisenkatu,210.5,134.63654778699578
Kapteeninpuistikko,210.75,92.46035186319953
Sepetlahdentie,210.75,117.10500985582698
Mellstenintie,211.0,138.68910074936196
Fleminginkatu,212.75,171.63405839168402
Rajasaarentie,213.0,155.99786323322937
Piispanportti,213.25,63.18425436768246
Tupasaarentie,213.25,84.38552403503024
Torpanranta,213.25,158.40954306269975
Paciuksenkaari,213.25,188.04498575252322
Kuikkarinne,213.5,118.9971988465835
Hakalehto,214.125,145.84945149022673
Kulttuuriaukio,214.625,161.79275581228393
Pajamäki,215.5,82.31038816577164
Kasarmitori,216.25,63.78806053382299
Venttiilikuja,216.375,139.99129437218588
Viiskulma,216.5,143.9039031205663
Mannerheimintie,216.5,170.31832941093958
Haukilahdenranta,217.0,54.448752664011195
Komeetankatu,217.25,91.56919059742019
Meilahden sairaala,218.0,105.66298626608405
Savela,218.5,149.83212828584752
Ruskeasuon varikko,219.5,178.51330482627898
Säteri,219.75,98.80747272684727
Meri-Rastilan tori,219.75,112.24489594928879
Radiokatu,219.75,171.64959462035827
Herttoniemen kirkko,221.0,141.3105327520446
Koukkusaarentie,221.25,89.42548108155006
Relanderinaukio,221.25,128.99192481185273
Kesäkatu,221.5,192.97063679914274
Kurkimäentie,221.75,42.30346715499018
Maunula,221.75,64.29294932831542
Malminkartanon asema,222.25,104.99642851068792
Mastokatu,222.5,167.00598791660136
Länsisatamankatu,223.125,179.88810179293867
Sompasaari,223.25,181.85410819298713
Vuosaaren puistopolku,224.25,35.82713124621246
Komentajankatu,224.25,110.26445483472904
Lehtisaarentie,224.75,133.10240418564948
Koivu-Mankkaa,225.0,127.03018014104627
Karhulantie,225.25,79.65916980067853
Katariina Saksilaisen katu,226.0,120.00277774562831
Linnuntie,227.0,160.96997649665397
Ulvilantie,227.0,168.78981011897608
Maatullinkuja,227.5,106.56609842409233
Sofianlehdonkatu,228.75,115.0170277248837
Revontulentie,229.625,160.10380747086145
Tapiolan urheilupuisto,229.75,157.28185951766127
Muusantori,230.0,144.6950816948063
Pohjois-Haagan asema,230.375,152.8623427575717
Isoisänsilta,230.5,156.00106837240997
Marjaniemi,231.375,149.08463759444388
Mäntyviita,231.375,150.9610186990889
Leppävaaran uimahalli,232.0,64.83311910847212
Unioninkatu,232.25,161.25833311801284
Välimerenkatu,233.625,225.17377548610466
Mikkolantie,234.625,189.21124658257853
Väärämäentie,234.75,102.89274350830901
Seurasaari,235.25,128.88851771977207
Bermudankuja,235.25,180.5110799923373
Annankatu,235.75,123.15944949535947
Puistokaari,236.25,145.091637709874
Kalevalantie,236.375,151.14969125561146
Isosaarentie,238.0,115.63448159322259
Margareetankuja,238.125,154.15164341215007
Merihaka,238.75,151.7264534175457
Tontunmäentie,239.5,97.2093959793325
Nokkala,239.5,118.24973572909158
Läkkitori,239.625,146.86239307596753
Eläinmuseo,240.0,145.88351517563592
Gallen-Kallelan tie,240.25,129.97018888960653
Sateentie,241.125,138.64245081022864
Tollinpolku,241.75,80.05154589388015
Pukinmäen liikuntapuisto,242.125,114.25729371320969
Leppäsuonaukio,242.125,208.2964133952703
Lastenlehto,242.375,172.804984013772
Cygnaeuksenkatu,242.5,193.26751753290912
Aulangontie,242.75,91.09839003334069
Laivasillankatu,242.75,108.60133516674645
Paavalinpuisto,243.125,125.35175507347314
Upseerinkatu,243.75,101.35539781712006
Haapasaarentie,243.75,124.18098351465359
Töölöntori,244.25,145.8957961468847
Rummunlyöjänkatu,244.5,93.95921100846545
Orpaanporras,244.5,117.59960317393366
Ehrenströmintie,244.5,176.04828883008207
Tapanilan asema,246.0,96.21157241551904
Uimastadion,246.25,94.20323773629015
Avaruuskatu,246.5,153.76280434487398
Friisilänaukio,246.5,154.19143945109275
Westendinasema,246.875,111.1518293446701
Hankasuontie,247.25,117.34954906886803
Syystie,247.5,92.42113755341181
Huovitie,247.75,67.49012273412063
Oravannahkatori,247.875,163.07583869680593
Gunillantie,248.0,135.74976979722655
Melkonkuja,248.5,151.20956759852643
Tiistinkallio,249.25,79.72609359550987
Näyttelijäntie,249.5,68.94683942478196
Peukaloisentie,249.5,111.28791488746656
Derby Business Park,250.375,204.32791251645804
Tiistiläntie,250.5,91.77327134483838
Olarinluoma,250.5,115.62727475239856
Mankkaanlaaksontie,250.875,155.58833236032407
Linnanmäki,250.875,184.05088743786774
Töölönlahden puisto,251.75,159.08776403817694
Rapakiventie,252.25,102.46096817813113
Kaivonkatsojanpuisto,252.5,45.110974274559844
Kuunkatu,252.75,80.50828114755235
Kuusisaari,253.25,168.55340400003792
Ahertajantie,253.375,170.60254736277142
Jäähalli,253.75,88.58282376774105
Kansallismuseo,253.75,116.88277603365405
Aurinkolahdenaukio,254.0,87.95832346439231
Etupellonpuisto,254.0,116.66476188921257
Humalniementie,254.75,62.51599795252412
Tekniikantie,254.75,155.15449289874485
Ratapihantie,254.875,131.27602916501294
Nelikkotie,255.25,96.36864981240873
Koskelan varikko,255.25,146.38163591562068
Kotinummentie,255.375,125.7228267526095
Metsänneidonpolku,255.375,162.66907870479463
Kuusitie,255.5,93.51826915991691
Purjetie,256.0,49.57822102496216
Tammisalon aukio,256.125,123.40473721323127
Sähkömies,256.875,140.1465750562603
Leppävaaran urheilupuisto,257.25,62.15236654115969
Arielinkatu,259.0,105.01111052328383
Saunalahdentie,259.0,133.34916572667413
Jalavatie,259.75,102.83117231656945
Lokitie,260.25,48.93107397145499
A.I. Virtasen aukio,261.5,160.87780041592646
Laajalahden keskus,261.625,176.1123576016175
Töyrynummi,262.125,146.0675500125427
Siilitie 13,262.125,173.74424450899085
Toppelundinportti,262.625,146.51926778868824
Kivikon liikuntapuisto,263.625,155.36482602785827
Hauenkalliontie,263.75,67.16335806573899
Vesakkotie,263.75,109.82827504791287
Lepolantie,264.5,125.04265938737333
Kustaankatu,264.5,181.92764129363812
Rukatunturintie,265.0,126.59383871263246
Itäkeskus Metrovarikko,265.375,154.1954252455846
Viljelijäntie,266.5,112.38475578713215
Painiitty,266.75,78.77975628294365
Muotoilijankatu,266.75,165.8400333654895
Ruomelantie,267.75,116.46852221380104
Designmuseo,268.75,66.94462886097236
Kalkkipellonmäki,268.75,102.39588207865913
Kutsuntatie,269.375,178.89725868963635
Hernepellontie,270.5,52.22068555658763
Kannelmäen asema,270.625,120.03706024946352
Ilmalan asema,270.75,96.29598468610551
Teollisuuskatu,270.875,151.1822162160616
Eteläesplanadi,272.125,157.3575413932657
Paloheinäntie,272.5,103.3263438496366
Etuniementie,273.625,145.36928549960842
Verkkosaari,275.0,141.315250415516
Siltamäki,275.375,130.18792506731694
Käskynhaltijantie,275.875,147.20754905914302
Betonimies,276.5,94.99649116327052
Senaatintori,277.75,106.31831137359798
Hanasaari,278.25,154.3445820234711
Reiherintie,279.5,127.56566936288148
Siltavoudintie,279.625,159.8266639206362
Sinkilätie,280.375,136.7451248369267
Innopoli,280.75,158.220047191667
Paloheinän kirjasto,280.875,163.7652664639239
Leikosaarentie,281.25,44.04070087241271
Pernajantie,281.625,159.76617028228057
Hernesaarenranta,282.125,178.96385808313366
Eerikinkatu,282.75,80.46272428895259
Paloheinän maja,282.875,162.68905668995276
Säterinniitty,283.25,81.25012820502705
Ruutikatu,283.625,139.7553666232535
Kivikonlaita,284.625,144.67629096250246
Laulurastaantie,285.875,83.85341873372447
Malmin sairaala,285.875,91.16137248491454
Mankkaanaukio,286.875,168.20145411579136
Linnakepolku,287.0,42.300512211240815
Helluntairaitti,287.125,90.69396800963851
Mamsellimyllynkatu,287.625,101.91939216851718
Westendintie,287.75,126.76323073615103
Paciuksenkatu,287.75,173.61139555532253
Vähäntuvantie,288.0,109.88478814952808
Gebhardinaukio,288.875,85.12380689325401
Lallukankuja,288.875,156.55157563350593
Mäkelänkatu,289.125,97.38101714399988
Suurpellonaukio,289.625,158.123040172308
Hauenkallio,289.875,129.5558920569291
Marttila,290.5,62.601916903558156
Hagalundinpuisto,290.625,196.79743180912362
Vallikatu,291.125,79.42750887864145
Mäkkylän asema,291.375,139.10510115256977
Puistolan VPK,291.625,140.30762333767424
Maarinranta,292.125,148.5868853566828
Kannelmäen liikuntapuisto,292.25,73.78967859170189
Pajupillintie,292.5,75.11990415329349
Lystimäensilta,293.125,107.02365392753137
Auringonkatu,293.25,66.90478308760892
Itäportti,293.875,112.82166975659715
Sateenkaarentie,294.375,141.92684441875915
Tuulimäki,294.875,181.66653287456847
Jakomäentie,295.875,153.77493022813135
Kiskontie,296.125,139.3439240392873
Keilalahti,296.75,43.942196880295675
Lettopolku,297.375,157.1354908987782
Tietäjä,298.125,178.09752712114414
Vallipolku,298.375,93.4160719576669
Huhtakuja,298.375,97.49989316233463
Töyrynummentie,299.125,130.3126848519872
Ida Aalbergin tie,301.25,74.19512562605894
Mäkitorpantie,301.375,136.57316415264995
Vartioharjuntie,301.375,138.96844665846513
Piispankallio,301.5,100.82493077937949
Karhupuisto,301.5,133.28790892900477
Nuottaniementie,301.625,141.25
Kuninkaantammi,302.625,164.91582448833304
Lukutori,302.875,159.65920737621116
Jakomäki,303.125,119.66646355600218
Alppikylä,304.125,117.45522196423055
Kontulankaari,304.875,70.69461907858806
Elimäenkatu,305.625,104.21722106574646
Sallatunturintie,305.625,140.5639682374778
Elfvik,306.125,188.63826714994318
Toppelundintie,306.375,148.4269601521233
Humikkalankuja,306.625,120.91827474235095
Tuukkalantie,306.625,136.37165822364508
Haapaniemenkatu,306.75,106.39039743636013
Hakuninmaa,307.625,135.79235066821695
Piikintie,307.75,99.58371687513309
Kivikonkaari,309.125,126.49398865822307
Golfpolku,309.625,152.51741703818615
Opastinsilta,310.25,101.46386877439016
Maununneva,311.5,97.33276255540406
Vuosaaren liikuntapuisto,311.625,101.28949846849869
Vanha Kauppahalli,311.75,105.3070906128041
Karviaistie,312.125,105.7846672884749
Postipuun koulu,313.875,108.48377374827383
Torpparinmäentie,313.875,139.07574375138174
Porvarintie,315.625,118.97715116777675
Lystimäki,316.625,97.09048614565693
Tilketori,317.375,70.77119823770119
Honkasuo,318.5,127.92315401573451
Länsiterminaali,318.625,193.4456749753446
Punakiventie,319.0,31.559467676119
Halmetie,319.5,106.11550310864101
Varustuksentie,319.625,74.82131492206393
Säterinrinne,321.125,101.70248685913897
Puistolantori,321.125,132.99396916151247
Kirkkoherrantie,321.375,95.47370929563105
Maistraatintori,322.25,69.24533678643398
Heikinlaakso,322.875,125.19210238669211
Vanha Tapanilantie,323.125,62.81769257144041
Päijänteentie,324.125,130.7391646243262
Malminkartanonhuippu,324.625,145.62244275294015
Korkeasaari,325.5,67.09446077484093
Haakoninlahdenkatu,327.125,128.01326428668762
Erottajan aukio,327.25,118.80130470664032
Kaustisentie,329.75,84.32625134954516
Hollolantie,332.875,119.54383784481183
Kaapelitehdas,339.375,116.0972114221526
Karhusuontie,341.0,95.38081568114208
Jokipellontie,341.0,103.41905046943721
Hämeenlinnanväylä,341.125,54.6936544156023
Tuohipolku,341.375,133.91625181433358
Jollas,342.875,153.05030491094533
Kalannintie,345.125,94.94241675879123
Pirkkolan liikuntapuisto,347.0,61.335144900782616
Gransinmäki,349.75,113.36555914385991
Kurkimäki,350.0,121.34043019538046
Saniaiskuja,352.5,70.1225118393991
Trumpettikuja,372.875,38.57541315397672
